date,open,high,low,close,volume
202404111341 ,17535,17540,17535,17540,1067
202404111342 ,17540,17540,17535,17540,577
202404111343 ,17535,17540,17535,17540,196
202404111344 ,17540,17540,17535,17540,469
202404111345 ,17540,17540,17535,17535,5050
202404111346 ,17535,17540,17530,17540,1596
202404111347 ,17540,17540,17530,17535,429
202404111348 ,17535,17535,17530,17535,1182
202404111349 ,17535,17540,17535,17540,275
202404111350 ,17540,17540,17535,17535,1014
202404111351 ,17535,17535,17530,17535,509
202404111352 ,17535,17535,17530,17535,1334
202404111353 ,17535,17535,17530,17535,1821
202404111354 ,17535,17535,17530,17535,1151
202404111355 ,17535,17535,17530,17535,4491
202404111356 ,17535,17535,17530,17535,250
202404111357 ,17535,17540,17530,17540,817
202404111358 ,17540,17540,17530,17530,2752
202404111359 ,17535,17535,17530,17535,440
202404111400 ,17535,17535,17530,17535,2110
202404111401 ,17535,17535,17530,17530,84
202404111402 ,17535,17535,17530,17535,1258
202404111403 ,17535,17535,17530,17535,325
202404111404 ,17535,17535,17530,17530,311
202404111405 ,17535,17535,17530,17535,404
202404111406 ,17535,17535,17530,17530,658
202404111407 ,17535,17540,17530,17535,5680
202404111408 ,17535,17540,17530,17535,1515
202404111409 ,17530,17535,17530,17530,575
202404111410 ,17535,17535,17530,17535,277
202404111411 ,17535,17535,17530,17535,377
202404111412 ,17535,17535,17530,17535,825
202404111413 ,17535,17535,17530,17535,2301
202404111414 ,17535,17535,17530,17535,1090
202404111415 ,17535,17535,17530,17535,330
202404111416 ,17535,17535,17530,17535,2026
202404111417 ,17535,17540,17530,17535,762
202404111418 ,17535,17535,17530,17535,998
202404111419 ,17535,17535,17530,17535,909
202404111420 ,17535,17540,17530,17535,1643
202404111421 ,17535,17540,17530,17535,768
202404111422 ,17535,17540,17530,17535,601
202404111423 ,17535,17535,17530,17535,833
202404111424 ,17535,17540,17530,17530,408
202404111425 ,17535,17535,17530,17535,475
202404111426 ,17535,17535,17530,17535,1150
202404111427 ,17535,17535,17530,17535,1675
202404111428 ,17535,17535,17530,17530,1396
202404111429 ,17535,17535,17530,17530,975
202404111430 ,17535,17535,17530,17535,690
202404111431 ,17535,17535,17530,17535,758
202404111432 ,17535,17535,17530,17530,909
202404111433 ,17535,17535,17530,17530,16535
202404111434 ,17535,17535,17525,17530,2212
202404111435 ,17530,17530,17525,17530,757
202404111436 ,17525,17530,17525,17525,1035
202404111437 ,17525,17530,17525,17530,1012
202404111438 ,17530,17530,17525,17530,508
202404111439 ,17530,17530,17525,17525,505
202404111440 ,17530,17530,17525,17530,1727
202404111441 ,17530,17530,17525,17530,20579
202404111442 ,17530,17530,17525,17530,445
202404111443 ,17530,17530,17530,17530,1274
202404111444 ,17530,17530,17525,17530,925
202404111445 ,17530,17530,17525,17530,410
202404111446 ,17530,17530,17525,17530,240
202404111447 ,17530,17530,17525,17530,3383
202404111448 ,17530,17530,17525,17530,2524
202404111449 ,17530,17530,17525,17530,1248
202404111450 ,17530,17530,17525,17530,1472
202404111451 ,17530,17530,17525,17530,3153
202404111452 ,17530,17535,17525,17535,23192
202404111453 ,17535,17535,17530,17535,353
202404111454 ,17535,17535,17530,17535,1368
202404111455 ,17535,17540,17530,17535,46792
202404111456 ,17540,17540,17530,17530,1366
202404111457 ,17535,17535,17530,17535,799
202404111458 ,17535,17535,17530,17535,3125
202404111459 ,17535,17535,17530,17535,641
202404111500 ,17535,17535,17525,17525,13072
202404111501 ,17535,17535,17525,17535,2460
202404111502 ,17535,17535,17525,17530,558
202404111503 ,17530,17535,17530,17530,332
202404111504 ,17530,17535,17530,17535,379
202404111505 ,17530,17535,17525,17525,10928
202404111506 ,17535,17535,17530,17535,169
202404111507 ,17535,17535,17530,17535,956
202404111508 ,17535,17535,17525,17530,1085
202404111509 ,17525,17535,17525,17530,1104
202404111510 ,17530,17530,17525,17530,561
202404111511 ,17530,17530,17525,17530,950
202404111512 ,17530,17530,17525,17530,1131
202404111513 ,17530,17535,17525,17535,3484
202404111514 ,17535,17535,17525,17535,1177
202404111515 ,17535,17535,17530,17535,979
202404111516 ,17535,17535,17525,17525,2052
202404111517 ,17530,17530,17525,17530,440
202404111518 ,17530,17535,17530,17535,449
202404111519 ,17535,17535,17535,17535,449
202404111520 ,17535,17535,17525,17535,1806
202404111530 ,17550,17550,17550,17550,32010
202404120901 ,17674,17714,17674,17714,14227
202404120902 ,17709,17714,17704,17704,4336
202404120903 ,17709,17709,17704,17709,8418
202404120904 ,17709,17714,17709,17714,1718
202404120905 ,17714,17714,17709,17714,7786
202404120906 ,17714,17714,17709,17714,6473
202404120907 ,17714,17714,17709,17714,4480
202404120908 ,17714,17714,17709,17714,2087
202404120909 ,17714,17714,17704,17704,18468
202404120910 ,17704,17709,17699,17704,4551
202404120911 ,17704,17709,17699,17704,2844
202404120912 ,17704,17704,17699,17704,4824
202404120913 ,17704,17704,17699,17704,1425
202404120914 ,17704,17709,17699,17704,13599
202404120915 ,17704,17704,17699,17704,1189
202404120916 ,17699,17709,17699,17699,49272
202404120917 ,17704,17704,17699,17699,2120
202404120918 ,17699,17704,17699,17704,750
202404120919 ,17699,17709,17699,17709,12494
202404120920 ,17704,17709,17704,17709,2445
202404120921 ,17709,17709,17704,17704,2214
202404120922 ,17709,17709,17704,17709,1438
202404120923 ,17709,17709,17704,17709,1559
202404120924 ,17709,17709,17704,17709,3140
202404120925 ,17709,17709,17704,17704,2255
202404120926 ,17709,17709,17704,17709,755
202404120927 ,17709,17714,17709,17714,35742
202404120928 ,17714,17714,17709,17714,1042
202404120929 ,17714,17714,17709,17714,3725
202404120930 ,17714,17714,17709,17714,806
202404120931 ,17714,17719,17709,17719,39800
202404120932 ,17719,17719,17709,17714,1857
202404120933 ,17714,17719,17709,17719,10026
202404120934 ,17719,17719,17714,17719,1649
202404120935 ,17719,17719,17714,17719,5012
202404120936 ,17714,17719,17714,17719,2603
202404120937 ,17719,17719,17714,17719,2830
202404120938 ,17719,17719,17714,17719,3371
202404120939 ,17719,17719,17714,17719,1228
202404120940 ,17719,17719,17714,17719,1212
202404120941 ,17719,17719,17714,17719,1889
